OpenAlias asset_type,Asset Common Name,CAIP-19 suffix,,
agm,Argoneum,/slip44:421,,
ccx,Conceal Network,/slip44:422,,
tnet,Title Network,/slip44:423,,
telos,TelosCoin,/slip44:424,,
aion,Aion,/slip44:425,,
bc,Bitcoin Confidential,/slip44:426,,
ktv,KmushiCoin,/slip44:427,,
zcr,ZCore,/slip44:428,,
erg,Ergo,/slip44:429,,
peso,Criptopeso,/slip44:430,,
btc2,Bitcoin 2,/slip44:431,,
xrphd,XRPHD,/slip44:432,,
we,WE Coin,/slip44:433,,
ksm,Kusama,/slip44:434,,
pcn,Peepcoin,/slip44:435,,
nch,NetCloth,/slip44:436,,
icu,CHIPO,/slip44:437,,
fnsa,FINSCHIA,/slip44:438,,
dtp,DeVault Token Protocol,/slip44:439,,
btcr,Bitcoin Royale,/slip44:440,,
aergo,AERGO,/slip44:441,,
xth,Dothereum,/slip44:442,,
lv,Lava,/slip44:443,,
phr,Phore,/slip44:444,,
vitae,Vitae,/slip44:445,,
cocos,Cocos-BCX,/slip44:446,,
din,Dinero,/slip44:447,,
spl,Simplicity,/slip44:448,,
yce,MYCE,/slip44:449,,
xlr,Solaris,/slip44:450,,
kts,Klimatas,/slip44:451,,
dgld,DGLD,/slip44:452,,
xns,Insolar,/slip44:453,,
em,EMPOW,/slip44:454,,
shn,ShineBlocks,/slip44:455,,
seele,Seele,/slip44:456,,
ae,æternity,/slip44:457,,
odx,ObsidianX,/slip44:458,,
kava,Kava,/slip44:459,,
gleec,GLEEC,/slip44:460,,
fil,Filecoin,/slip44:461,,
ruta,Rutanio,/slip44:462,,
csdt,CSDT,/slip44:463,,
eti,EtherInc,/slip44:464,,
zslp,Zclassic Simple Ledger Protocol,/slip44:465,,
ere,EtherCore,/slip44:466,,
dx,DxChain Token,/slip44:467,,
cps,Capricoin+,/slip44:468,,
bth,Bithereum,/slip44:469,,
mesg,MESG,/slip44:470,,
fimk,FIMK,/slip44:471,,
ar,Arweave,/slip44:472,,
ogo,Origo,/slip44:473,,
rose,Oasis Network,/slip44:474,,
bare,BARE Network,/slip44:475,,
gleec,GleecBTC,/slip44:476,,
clr,Color Coin,/slip44:477,,
rng,Ring,/slip44:478,,
olo,Tool Global,/slip44:479,,
pexa,Pexa,/slip44:480,,
moon,Mooncoin,/slip44:481,,
ocean,Ocean Protocol,/slip44:482,,
bnt,Bluzelle Native,/slip44:483,,
amo,AMO Blockchain,/slip44:484,,
fch,FreeCash,/slip44:485,,
lat,PlatON,/slip44:486,,
coin,Bitcoin Bank,/slip44:487,,
veo,Amoveo,/slip44:488,,
cca,Counos Coin,/slip44:489,,
gfn,Graphene,/slip44:490,,
bip,Minter Network,/slip44:491,,
kpg,Kunpeng Network,/slip44:492,,
fin,FINL Chain,/slip44:493,,
band,Band,/slip44:494,,
drop,Dropil,/slip44:495,,
bht,Bluehelix Chain,/slip44:496,,
lyra,Scrypta,/slip44:497,,
cs,Credits,/slip44:498,,
rupx,Rupaya,/slip44:499,,
theta,Theta,/slip44:500,,
